Symbol,Current Price,P/E Ratio,Trust Score,Verdict,Rule Violations
TSLA,429.24,294.0,0.0,Risky,"Overvalued, Insolvent Risk"
AAPL,286.19,38.311916,0.0,Risky,Insolvent Risk
NVDA,181.46,44.80494,0.0,Risky,Insolvent Risk
AMZN,N/A,N/A,0.0,Risky,None
MSFT,490.0,34.85064,0.0,Risky,Insolvent Risk
GOOGL,315.81,31.14497,0.0,Risky,Insolvent Risk
