Symbol,Year,Start_Price,End_Price,Actual_Return,Trust_Score,Verdict,pe_ratio,debt_to_equity,revenue_growth,profit_margins,roe,free_cash_flow,dividend_yield,rsi,macd,price_vs_sma50,price_vs_sma200,volatility,volume_ratio,trend_strength,ema_20,atr,bb_position
META,2020,208.3247833251953,269.9840393066406,29.597657560116176,100.0,TRUSTED,29.409111,26.311,0.262,0.30892,0.32643002,18617749504.0,0.32,61.14618884947064,3.368683520100035,0.9249880279629398,-0.8712539505959902,38.11203050120855,0.5479559737246953,0.16452480861016947,652.1212968249462,19.948369137726086,0.7849702778687025
META,2021,267.0744323730469,341.9712219238281,28.043414296643032,100.0,TRUSTED,29.409111,26.311,0.262,0.30892,0.32643002,18617749504.0,0.32,61.14618884947064,3.368683520100035,0.9249880279629398,-0.8712539505959902,38.11203050120855,0.5479559737246953,0.16452480861016947,652.1212968249462,19.948369137726086,0.7849702778687025
META,2022,336.19158935546875,119.50521850585938,-64.4532396735536,100.0,TRUSTED,29.409111,26.311,0.262,0.30892,0.32643002,18617749504.0,0.32,61.14618884947064,3.368683520100035,0.9249880279629398,-0.8712539505959902,38.11203050120855,0.5479559737246953,0.16452480861016947,652.1212968249462,19.948369137726086,0.7849702778687025
META,2023,123.87468719482422,351.5046081542969,183.75822059713227,100.0,TRUSTED,29.409111,26.311,0.262,0.30892,0.32643002,18617749504.0,0.32,61.14618884947064,3.368683519912338,0.9249880279629398,-0.8712540858929698,38.11202559894546,0.5479559737246953,0.16452480861016947,652.1212968249547,19.948369137726086,0.7849702778686893
META,2024,343.8878479003906,664.9400024414062,93.35955210432748,100.0,TRUSTED,29.409111,26.311,0.262,0.30892,0.32643002,18617749504.0,0.32,61.14618884947064,3.3686835199135885,0.9249880279629398,-0.8712540858929698,38.11202302032307,0.5479559737246953,0.16452480861016947,652.1212968249547,19.948369137726086,0.7849702778686731
GOOG,2020,67.85953521728516,86.3285140991211,27.21648302290689,100.0,TRUSTED,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,46.08791985262573,4.756058702335167,8.506795377045389,47.23319726529668,32.05594649099783,0.5911478572344596,-0.24823348694065564,308.3197378030384,7.713538909490438,0.5515945059335953
GOOG,2021,85.76871490478516,144.9156036376953,68.96091284400283,100.0,TRUSTED,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,46.08791985262573,4.756058702335167,8.506795377045389,47.23319726529668,32.05594649099783,0.5911478572344596,-0.24823348694065564,308.3197378030384,7.713538909490438,0.5515945059335953
GOOG,2022,143.9945068359375,88.06946563720703,-38.838315729953216,100.0,TRUSTED,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,46.08791985262573,4.756058702373537,8.506795377045389,47.23319716051522,32.05594204369236,0.5911478572344596,-0.24823348694065564,308.31973780303633,7.713538909490438,0.5515945059336418
GOOG,2023,89.03224182128906,139.88087463378906,57.112605245374446,100.0,TRUSTED,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,46.08791985262573,4.756058702373537,8.506795377045389,47.23319716051522,32.05594204369236,0.5911478572344596,-0.24823348694065564,308.31973780303633,7.713538909490438,0.5515945059336418
GOOG,2024,138.52105712890625,315.67999267578125,127.89314434845292,100.0,TRUSTED,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,46.08791985262573,4.7560587114024315,8.506795377045389,47.23319815593921,32.055941482026824,0.5911478572344596,-0.24823348694065564,308.31973780156324,7.713538909490438,0.55159450593358
AAPL,2020,72.46827697753906,130.17002868652344,79.62346300418947,100.0,TRUSTED,36.50938,152.411,0.079,0.26915002,1.7142199,78862254080.0,0.38,24.29132878431561,0.37071831695055835,0.7140592235626636,18.45194085750225,32.63600882146856,0.5445739047404385,-0.19231494051829623,274.5474627293819,4.327144077845982,0.20348761462870693
AAPL,2021,125.9744644165039,174.53857421875,38.55075711350571,100.0,TRUSTED,36.50938,152.411,0.079,0.26915002,1.7142199,78862254080.0,0.38,24.29132878431561,0.37071831695055835,0.7140592235626636,18.45194085750225,32.63600882146856,0.5445739047404385,-0.19231494051829623,274.5474627293819,4.327144077845982,0.20348761462870693
AAPL,2022,178.27029418945312,127.99896240234375,-28.199500099374124,100.0,TRUSTED,36.50938,152.411,0.079,0.26915002,1.7142199,78862254080.0,0.38,24.29132878431561,0.3707183169505015,0.7140592235626636,18.45194085750225,32.636008952309,0.5445739047404385,-0.19231494051829623,274.5474627293819,4.327144077845982,0.20348761462870088
AAPL,2023,123.2112045288086,190.72877502441406,54.79823913239876,100.0,TRUSTED,36.50938,152.411,0.079,0.26915002,1.7142199,78862254080.0,0.38,24.29132878431561,0.3707183169575501,0.7140592235626636,18.451941014716216,32.63600796218783,0.5445739047404385,-0.19231494051829623,274.5474627293818,4.327144077845982,0.2034876146286726
AAPL,2024,183.9032440185547,272.3599853515625,48.09960901183618,100.0,TRUSTED,36.50938,152.411,0.079,0.26915002,1.7142199,78862254080.0,0.38,24.29132878431561,0.3707183169575501,0.7140592235626636,18.451941014716216,32.63600796218783,0.5445739047404385,-0.19231494051829623,274.5474627293818,4.327144077845982,0.2034876146286726
ORCL,2020,49.45161437988281,60.06883239746094,21.469911853670983,71.4,TRUSTED,36.787193,432.511,0.142,0.25280002,0.69026,-10208000000.0,1.02,43.13573324960864,-11.032963421768642,-16.01176843824782,-8.523401885781617,61.81710917965921,1.0571921607325487,-0.5217211770232064,202.01839207513896,10.314999171665736,0.3971237288866238
