ticker
SMCI
CELH
IONQ
HIMS
RKLB
BROS
CAVA
ARM
RDDT
HOOD
KVUE
FSLR
ENPH
SEDG
RUN
NOVA
WOLF
SPWR
CSIQ
JKS
DQ
SOL
MAXN
ARRY
AMPS
SHLS
VVNT
CWEN-A
NEP
BEP
AY
CWEN
PEGI
CAPL
GPRE
REX
BIOX
GEVO
AMTX
REGI
RDUS
NEXT
CLNE
WPRT
HYLN
WKHS
ARVL
MULN
ELMS
HYZN
TSM
BABA
TCEHY
JD
PDD
BIDU
NIO
XPEV
LI
BILI
SE
GRAB
MELI
NU
CPNG
SHOP
SPOT
ASML
SAP
ADYEN
TEAM
WDAY
ZM
DOCU
OKTA
DDOG
SNOW
MDB
NET
CRWD
VALE
ITUB
PBR
ABEV
BBD
SBS
BRFS
CIG
ERJ
GOL
AZUL
STNE
PAGS
MOMO
IQ
VIPS
ATHM
TIGR
FUTU
LEGN
MRNA
BNTX
NVAX
VXRT
INO
OCGN
SAVA
AVXL
ATNF
PROG
ATOS
CTXR
BNGO
PACB
ILMN
TWST
BEAM
CRSP
EDIT
NTLA
BLUE
FATE
SGMO
CRBU
VERV
PRME
ABCL
ALNY
IONS
ARWR
SQ
PYPL
AFRM
UPST
LC
SOFI
COIN
MARA
RIOT
CLSK
HUT
BITF
ARBK
CIFR
WULF
IREN
CORZ
BTBT
CAN
SOS
